CIC0191 | INTRODUCAO AO DESENVOLVIMENTO DE JOGOS | 60h | Aula | OPTATIVO
ENM0080 | FENOMENOS DE TRANSPORTE | 75h | Aula | OPTATIVO
FCTE0001 | FUNDAMENTOS LOGICOS DE INTELIGENCIA ARTIFICIAL | 60h | Aula | OPTATIVO
FCTE0002 | PARADIGMAS DE SOLUCAO DE PROBLEMAS | 60h | Aula | OPTATIVO
FCTE0003 | ESTRUTURAS DE DADOS PARA COMPETICOES | 60h | Aula | OPTATIVO
FCTE0004 | MATEMATICA PARA COMPETICOES | 60h | Aula | OPTATIVO
FCTE0005 | ALGORITMOS EM GRAFOS | 60h | Aula | OPTATIVO
FCTE0006 | GEOMETRIA COMPUTACIONAL | 60h | Aula | OPTATIVO
FCTE0007 | ALGORITMOS EM STRINGS | 60h | Aula | OPTATIVO
FEF0105 | PRATICA DESPORTIVA | 30h | Aula | OPTATIVO
FGA0006 | FUNDAMENTOS DE EQUACOES DIFERENCIAIS PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0008 | SISTEMAS AEROSPACIAIS | 60h | Aula | OPTATIVO
FGA0027 | PRINCIPIOS DE ROBOTICA EDUCACIONAL | 60h | Aula | OPTATIVO
FGA0202 | PROGRAMACAO PARA COMPETICOES | 60h | Aula | OPTATIVO
FGA0031 | SEMINARIOS EM ENGENHARIA DE SOFTWARE | 30h | Aula | OPTATIVO
FGA0034 | TOPICOS ESPECIAIS EM MATEMATICA APLICADA | 60h | Aula | OPTATIVO
FGA0038 | AERODINAMICA DE SISTEMAS AEROSPACIAIS | 75h | Aula | OPTATIVO
FGA0041 | TOPICOS ESPECIAIS EM JOGOS DIGITAIS | 60h | Aula | OPTATIVO
FGA0043 | DINAMICA DOS GASES PARA SISTEMAS AEROSPACIAIS | 60h | Aula | OPTATIVO
FGA0045 | MECANICA DO VOO | 60h | Aula | OPTATIVO
FGA0046 | METODOS E TECNICAS DA ESCRITA CIENTIFICA | 60h | Aula | OPTATIVO
FGA0053 | TOPICOS ESPECIAIS EM PROGRAMACAO | 60h | Aula | OPTATIVO
FGA0054 | TOPICOS ESPECIAIS EM GOVERNANCA DE TECNOLOGIA DA INFORMACAO | 60h | Aula | OPTATIVO
FGA0066 | FUNDAMENTOS DE VARIAVEL COMPLEXA PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0072 | PRATICA DE ELETRONICA DIGITAL 2 | 30h | Aula | OPTATIVO
FGA0074 | TEORIA DE ELETRONICA DIGITAL 2 | 60h | Aula | OPTATIVO
FGA0083 | APRENDIZADO DE MAQUINA | 60h | Aula | OPTATIVO
FGA0084 | DESENVOLVIMENTO DE SOFTWARE | 60h | Aula | OPTATIVO
FGA0090 | ONDULATORIA E FISICA TERMICA PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0111 | INTRODUCAO A WEB SEMANTICA | 60h | Aula | OPTATIVO
FGA0112 | QUALIDADE DE SOFTWARE 2 | 60h | Aula | OPTATIVO
FGA0215 | INTRODUCAO A GEOMETRIA ANALITICA | 30h | Aula | OPTATIVO
FGA0129 | PROCESSAMENTO DIGITAL DE SINAIS FINANCEIROS | 60h | Aula | OPTATIVO
FGA0134 | TOPICOS ESPECIAIS EM ENGENHARIA DE SOFTWARE | 60h | Aula | OPTATIVO
FGA0144 | FISICA MODERNA | 90h | Aula | OPTATIVO
FGA0148 | ENGENHARIA DE SEGURANCA DO TRABALHO | 30h | Aula | OPTATIVO
FGA0154 | MECANICA DOS SOLIDOS 1 PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0155 | INTRODUCAO AO DESIGN E CONCECAO DE VEICULOS | 60h | Aula | OPTATIVO
FGA0166 | ELEMENTOS E METODOS EM ELETRONICA | 60h | Aula | OPTATIVO
FGA0167 | SISTEMAS AUTOMOTIVOS | 60h | Aula | OPTATIVO
FGA0169 | FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSAO | 60h | Aula | OPTATIVO
FGA0171 | TECNICAS DE PROGRAMACAO | 60h | Aula | OPTATIVO
FGA0174 | DESENVOLVIMENTO SUSTENTAVEL | 60h | Aula | OPTATIVO
FGA0179 | MECANICA DOS SOLIDOS 2 PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0181 | INOVACAO | 30h | Aula | OPTATIVO
FGA0186 | ELETRICIDADE APLICADA | 90h | Aula | OPTATIVO
FGA0188 | METODOS EXPERIMENTAIS PARA ENGENHARIA | 60h | Aula | OPTATIVO
FGA0201 | PROJETO DE CIRCUITOS INTEGRADOS DIGITAIS | 60h | Aula | OPTATIVO
FGA0203 | PLANEJAMENTO E GESTAO DE ENERGIA | 60h | Aula | OPTATIVO
FGA0204 | DINAMICA DOS FLUIDOS | 75h | Aula | OPTATIVO
FGA0220 | SISTEMAS EMBARCADOS | 60h | Aula | OPTATIVO
FGA0221 | INTELIGENCIA ARTIFICIAL | 60h | Aula | OPTATIVO
FGA0226 | ELETRONICA VEICULAR | 60h | Aula | OPTATIVO
FGA0254 | CIENCIAS AEROSPACIAIS | 60h | Aula | OPTATIVO
FGA0264 | INTRODUCAO A COMPUTACAO GRAFICA | 60h | Aula | OPTATIVO
FGA0265 | ECONOMIA DE ENERGIA | 60h | Aula | OPTATIVO
FGA0274 | PRODUTIVIDADE E PROFISSIONALISMO EM ENGENHARIA DE SOFTWARE | 60h | Aula | OPTATIVO
FGA0275 | ENGENHARIA DE SOFTWARE EXPERIMENTAL | 60h | Aula | OPTATIVO
FGA0279 | PROGRAMACAO WEB | 60h | Aula | OPTATIVO
FGA0319 | GOVERNANCA EM TECNOLOGIA DA INFORMACAO | 60h | Aula | OPTATIVO
FGA0320 | FELICIDADE | 60h | Aula | OPTATIVO
FGA0321 | MELHORIA DE PROCESSOS DE SOFTWARE | 60h | Aula | OPTATIVO
FGA0322 | INTRODUCAO A GAMIFICACAO | 60h | Aula | OPTATIVO
FGA0323 | ATIVIDADE COMPLEMENTAR | 15h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0324 | ATIVIDADE COMPLEMENTAR | 30h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0325 | ATIVIDADE COMPLEMENTAR | 45h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0326 | ATIVIDADE COMPLEMENTAR | 60h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0327 | ATIVIDADE COMPLEMENTAR | 90h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FGA0328 | ATIVIDADE COMPLEMENTAR | 120h | OrientaCAo AcadEmica/Profissional | OPTATIVO
FTD0007 | INTRODUCAO A ATIVIDADE EMPRESARIAL | 60h | Aula | OPTATIVO
LIP0174 | LINGUA DE SINAIS BRASILEIRA - BASICO | 60h | Aula | OPTATIVO
MATO0272 | CALCULO 3 | 90h | Aula | OPTATIVO
MATO0038 | TEORIA DOS NUMEROS 1 | 60h | Aula | OPTATIVO
CIC0004 | ALGORITMOS E PROGRAMACAO DE COMPUTADORES | 90h | Aula | OBRIGATORIO
FGA0163 | INTRODUCAO A ENGENHARIA | 30h | Aula | OBRIGATORIO
FGA0168 | DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR | 90h | Aula | OBRIGATORIO
FGA0302 | ENGENHARIA E AMBIENTE | 60h | Aula | OBRIGATORIO
MATO025 | CALCULO 1 | 90h | Aula | OBRIGATORIO
FGA0157 | PROBABILIDADE E ESTATISTICA APLICADA A ENGENHARIA | 60h | Aula | OBRIGATORIO
IFD0171 | FISICA 1 | 60h | Aula | OBRIGATORIO
IFD0173 | FISICA 1 EXPERIMENTAL | 30h | Aula | OBRIGATORIO
MATO026 | CALCULO 2 | 90h | Aula | OBRIGATORIO
MATO031 | INTRODUCAO A ALGEBRA LINEAR | 60h | Aula | OBRIGATORIO
FGA0071 | PRATICA DE ELETRONICA DIGITAL 1 | 30h | Aula | OBRIGATORIO
FGA0073 | TEORIA DE ELETRONICA DIGITAL 1 | 60h | Aula | OBRIGATORIO
FGA0085 | MATEMATICA DISCRETA 1 | 60h | Aula | OBRIGATORIO
FGA0133 | ENGENHARIA ECONOMICA | 60h | Aula | OBRIGATORIO
